Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Changzhou Nesl Solartech DJ-250DA/C-ST15,Changzhou Nesl Solartech,Mono-c-Si,0,249.898,226,1.634,1.65,0.99,60,8.79,38.07,8.14,30.7,0.00711111,-0.158143,45.8,1.65459,8.80643,8.73E-10,0.314496,168.287,-5.90067,-0.4416,N,SAM 2021.12.02,11/16/2022
Changzhou Nesl Solartech DJ-255D/C-ST15,Changzhou Nesl Solartech,Mono-c-Si,0,255.024,230.6,1.634,1.65,0.99,60,8.94,38.19,8.28,30.8,0.00723246,-0.158641,45.8,1.65978,8.95658,8.88E-10,0.309745,166.998,-5.90287,-0.4416,N,SAM 2021.12.02,11/16/2022
China Sunergy (Nanjing) CSUN170-72M,China Sunergy (Nanjing),Mono-c-Si,0,170.016,145.3,1.277,1.58,0.808,72,5.29,44.4,4.83,35.2,0.0014493,-0.166776,51,1.9563,5.30925,7.08E-10,0.743218,204.257,7.37673,-0.519441,N,SAM 2021.12.02,11/16/2022
China Sunergy (Nanjing) CSUN175-72M,China Sunergy (Nanjing),Mono-c-Si,0,175.088,156.5,1.277,1.58,0.808,72,5.34,44.5,4.96,35.3,0.00147779,-0.146661,45.8,1.84862,5.35102,1.84E-10,0.772085,374.066,9.69159,-0.474373,N,SAM 2021.12.02,11/16/2022
Chinaland Solar Energy HSE320-72P,Chinaland Solar Energy,Multi-c-Si,0,319.875,283.8,1.931,1.95,0.99,72,9.03,44.6,8.53,37.5,0.00291669,-0.162835,48.3,1.91186,9.03199,6.63E-10,0.161041,730.903,5.10819,-0.4735,N,SAM 2021.12.02,11/16/2022
Chinaland Solar Energy HSE325-72M,Chinaland Solar Energy,Mono-c-Si,0,325.182,293.9,1.931,1.95,0.99,72,9.14,45.9,8.58,37.9,0.00514582,-0.158217,46.1,1.93965,9.1462,4.77E-10,0.260225,383.436,8.06985,-0.445,N,SAM 2021.12.02,11/16/2022
Chint New Energy Technology Co. Ltd. CHSM72M(DG)/F-BH-515,Chint New Energy Technology Co. Ltd.,Mono-c-Si,1,514.983,477.1,2.48,,,72,13.28,48.9,12.53,41.1,0.0063744,-0.138876,45.6,1.89819,13.2875,8.50E-11,0.155425,274.24,11.0097,-0.375,N,SAM 2021.12.02,11/16/2022
Chint New Energy Technology Co. Ltd. CHSM72M(DG)/F-BH-520,Chint New Energy Technology Co. Ltd.,Mono-c-Si,1,520.38,481.9,2.48,,,72,13.32,49.1,12.6,41.3,0.0063936,-0.139444,45.6,1.90408,13.3257,8.34E-11,0.153086,355.091,10.7982,-0.375,N,SAM 2021.12.02,11/16/2022
CSI Solar Co. Ltd. CS7N-665MB-AG,CSI Solar Co. Ltd.,Mono-c-Si,1,665.28,619.6,3.07,,,66,18.51,45.6,17.28,38.5,0.0098103,-0.133608,43.7,1.82631,18.5264,2.59E-10,0.0858496,96.8831,14.5473,-0.39,N,SAM 2021.12.02,11/16/2022
CSI Solar Co. Ltd. CS7N-670MB-AG,CSI Solar Co. Ltd.,Mono-c-Si,1,670.284,624.4,3.07,,,66,18.55,45.8,17.32,38.7,0.0098315,-0.134194,43.7,1.83496,18.566,2.62E-10,0.0839754,97.5884,14.6289,-0.39,N,SAM 2021.12.02,11/16/2022
Dehui Solar Power (Vietnam) Co.Ltd DH-M860F 320W,Dehui Solar Power (Vietnam) Co.Ltd,Mono-c-Si,0,320.048,297.2,1.61,,,60,10.2,40.2,9.64,33.2,0.004386,-0.104922,45.4,1.50657,10.2071,2.60E-11,0.245768,354.828,12.2709,-0.361,N,SAM 2021.12.02,11/16/2022
Dehui Solar Power (Vietnam) Co.Ltd DH-M860F 325W,Dehui Solar Power (Vietnam) Co.Ltd,Mono-c-Si,0,325.285,302,1.61,,,60,10.25,40.4,9.71,33.5,0.0044075,-0.105444,45.4,1.51536,10.2551,2.68E-11,0.229942,459.046,12.4904,-0.361,N,SAM 2021.12.02,11/16/2022
Dehui Solar Power (Vietnam) Co.Ltd DH-M860W 325W,Dehui Solar Power (Vietnam) Co.Ltd,Mono-c-Si,0,325.248,300.6,1.59,,,60,10.3,40.4,9.68,33.6,0.004326,-0.106252,46.5,1.52983,10.3104,3.44E-11,0.214863,212.656,13.8892,-0.365,N,SAM 2021.12.02,11/16/2022
DEHUI SOLAR POWER INC. DH-72M-375W,DEHUI SOLAR POWER INC.,Mono-c-Si,0,375.2,343.3,1.92,,,72,9.65,50.1,9.38,40,0.0045355,-0.161322,46.3,1.96498,9.94797,8.36E-11,0.457257,816.379,0.00483367,-0.407,N,SAM 2021.12.02,11/16/2022
Du Pont Apollo DA095-A2,Du Pont Apollo,Thin Film,0,94.9,86.3,1.54,1.4,1.1,119,1.62,100,1.3,73,0.00131058,-0.3283,46.7,4.02287,1.68794,2.14E-11,11.9307,284.498,1.54132,-0.3514,N,SAM 2021.12.02,11/16/2022
Du Pont Apollo DA095-A6,Du Pont Apollo,Thin Film,0,94.9,89.5,1.54,1.4,1.1,119,1.62,100,1.3,73,0.00126282,-0.316147,46.1,3.48494,1.69585,4.59E-13,12.7828,273.003,-22.8374,-0.22912,N,SAM 2021.12.02,11/16/2022
DualSun SAS DualSun 440M-144-01,DualSun SAS,Mono-c-Si,0,440.34,413.3,2.16,,,72,11.33,49.6,10.74,41,0.0055517,-0.132928,43.9,1.81616,11.3362,1.55E-11,0.27759,507.095,3.83414,-0.334,N,SAM 2021.12.02,11/16/2022
DuCal Solar Technology LLC DST265M-60,DuCal Solar Technology LLC,Mono-c-Si,0,264.972,238.1,1.63,,,60,9.05,38.3,8.52,31.1,0.0057015,-0.135582,46.6,1.63143,9.05398,5.73E-10,0.284801,648.043,6.7779,-0.457,N,SAM 2021.12.02,11/16/2022
DuCal Solar Technology LLC DST270M-60,DuCal Solar Technology LLC,Mono-c-Si,0,269.806,242.7,1.63,,,60,9.17,38.5,8.62,31.3,0.0057771,-0.13629,46.6,1.64256,9.17519,6.02E-10,0.277209,489.702,7.09049,-0.457,N,SAM 2021.12.02,11/16/2022
DuCal Solar Technology LLC DST275M-60,DuCal Solar Technology LLC,Mono-c-Si,0,274.995,247.4,1.63,,,60,9.25,38.9,8.73,31.5,0.0058275,-0.137706,46.6,1.65189,9.25197,5.47E-10,0.295097,1386.69,6.17237,-0.457,N,SAM 2021.12.02,11/16/2022
EMMVEE Photovoltaic Power Private Ltd. E395M72,EMMVEE Photovoltaic Power Private Ltd.,Mono-c-Si,0,394.875,363.8,1.99,,,72,10.21,49.1,9.75,40.5,0.0054113,-0.134534,47,1.88321,10.3179,4.86E-11,0.292934,517.259,12.202,-0.372,N,SAM 2021.12.02,11/16/2022
Enp Sonne Solar Technikk ENP-M165MO,Enp Sonne Solar Technikk,Mono-c-Si,0,164.964,147.3,1.279,1.581,0.809,72,5.08,43.6,4.66,35.4,0.00239532,-0.165349,44.4,1.96099,5.09171,1.08E-09,0.538599,233.632,10.2076,-0.508731,N,SAM 2021.12.02,11/16/2022
Enp Sonne Solar Technikk ENP-M170MO,Enp Sonne Solar Technikk,Mono-c-Si,0,167.3,151.8,1.279,1.581,0.809,72,5.15,44.2,4.78,35,0.00242833,-0.167625,44.4,1.94264,5.15887,6.65E-10,0.765373,444.567,5.75489,-0.508731,N,SAM 2021.12.02,11/16/2022
Enphase Energy Inc. XACM-IQ7-LR6-60PB-300M,Enphase Energy Inc.,Mono-c-Si,0,300.12,273.2,1.58,,,60,9.81,40.1,9.15,32.8,0.0035316,-0.113884,48.2,1.55183,9.82698,5.74E-11,0.28304,163.493,10.3985,-0.391,N,SAM 2021.12.02,11/16/2022
Enphase Energy Inc. XACM-IQ7-LR6-60PB-305M,Enphase Energy Inc.,Mono-c-Si,0,304.92,278.9,1.58,,,60,9.94,40.2,9.24,33,0.0041748,-0.112158,48.8,1.53063,9.96042,3.79E-11,0.272171,132.499,8.51848,-0.368,N,SAM 2021.12.02,11/16/2022
Eoplly New Energy Technology EP125M/72-205W,Eoplly New Energy Technology,Mono-c-Si,0,206.834,182.4,1.277,1.58,0.808,72,5.92,46.21,5.52,37.47,0.003552,-0.166356,46.8,2.03662,5.9265,8.16E-10,0.512841,466.907,11.8825,-0.49,N,SAM 2021.12.02,11/16/2022
Eoplly New Energy Technology EP156P/60-225S AC,Eoplly New Energy Technology,Multi-c-Si,0,226.593,200.7,1.634,1.644,0.994,60,8.48,36.13,7.65,29.62,0.005088,-0.126455,46,1.61904,8.50682,1.63E-09,0.228081,72.1117,18.3891,-0.48,N,SAM 2021.12.02,11/16/2022
ET SOLAR POWER HONGKONG LIMITED ET-M772BH555TB,ET SOLAR POWER HONGKONG LIMITED,Mono-c-Si,1,554.878,519.5,2.56,,,72,14.07,50.1,13.18,42.1,0.0053466,-0.143787,43.4,1.92648,14.0839,6.99E-11,0.15418,156.208,7.77862,-0.372,N,SAM 2021.12.02,11/16/2022
ET SOLAR POWER HONGKONG LIMITED ET-M772BH555TW,ET SOLAR POWER HONGKONG LIMITED,Mono-c-Si,1,554.878,519.5,2.56,,,72,14.07,50.1,13.18,42.1,0.0053466,-0.143787,43.4,1.92648,14.0839,6.99E-11,0.15418,156.208,7.77862,-0.372,N,SAM 2021.12.02,11/16/2022
ET SOLAR POWER HONGKONG LIMITED ET-M772BH555WB,ET SOLAR POWER HONGKONG LIMITED,Mono-c-Si,0,554.878,519.7,2.56,,,72,14.07,50.1,13.18,42.1,0.0052059,-0.137775,43.6,1.90738,14.0845,5.39E-11,0.157387,152.919,10.1835,-0.366,N,SAM 2021.12.02,11/16/2022
ET SOLAR POWER HONGKONG LIMITED ET-M772BH555WW,ET SOLAR POWER HONGKONG LIMITED,Mono-c-Si,0,554.878,519.7,2.56,,,72,14.07,50.1,13.18,42.1,0.0052059,-0.137775,43.6,1.90738,14.0845,5.39E-11,0.157387,152.919,10.1835,-0.366,N,SAM 2021.12.02,11/16/2022
Exeltech AM24-1-B-6-0-00,Exeltech,Multi-c-Si,0,240.57,211.9,1.7,1.596,1.065,96,5.28,59.5,4.95,48.6,0.00214368,-0.213486,47.3,2.58701,5.28366,5.36E-10,0.673275,972.003,9.71601,-0.4929,N,SAM 2021.12.02,11/16/2022
First Solar Inc. FS-267,First Solar Inc.,Thin Film,0,67.41,64.8,0.72,1.2,0.6,116,1.18,87,1.05,64.2,0.00057466,-0.219066,45.9,2.51186,1.20162,9.90E-16,14.3636,783.981,-41.4906,-0.167233,N,SAM 2021.12.02,11/16/2022
Flextronics FXS-350BC-SBD1W,Flextronics,Multi-c-Si,0,340.308,311.4,1.96,1.976,0.992,72,9.29,47.79,8.83,38.54,0.00499802,-0.154266,43.5,1.98916,9.38818,3.43E-10,0.387353,688.548,12.2042,-0.4519,N,SAM 2021.12.02,11/16/2022
Freedom Forever Procurement LLC FF-MP-BBB-365,Freedom Forever Procurement LLC,Mono-c-Si,0,365.256,341,1.82,,,60,11.22,41.7,10.68,34.2,0.0075174,-0.117594,43.2,1.62637,11.3409,8.21E-11,0.241566,315.098,12.6838,-0.375,N,SAM 2021.12.02,11/16/2022
Freedom Forever Procurement LLC FF-MP-BBB-370,Freedom Forever Procurement LLC,Mono-c-Si,0,370.144,345.8,1.82,,,60,11.29,41.9,10.76,34.4,0.0075643,-0.118158,43.2,1.63401,11.4104,8.25E-11,0.237417,359.185,12.6675,-0.375,N,SAM 2021.12.02,11/16/2022
Freedom Forever Procurement LLC FF-MP-BBB-375,Freedom Forever Procurement LLC,Mono-c-Si,0,375.064,350.6,1.82,,,60,11.36,42.1,10.84,34.6,0.0076112,-0.118722,43.2,1.64164,11.48,8.29E-11,0.233328,416.798,12.6518,-0.375,N,SAM 2021.12.02,11/16/2022
FreeVolt ECP-PVGRAF-144HC-450W,FreeVolt,Mono-c-Si,0,450.432,416.1,2.12,,,72,11.47,50,10.88,41.4,0.0063085,-0.1395,46,1.94134,11.4732,7.45E-11,0.247129,885.883,13.024,-0.38,N,SAM 2021.12.02,11/16/2022
GAF RIAC 1000,GAF,Thin Film,0,150.072,139.2,1.086,1.656,0.656,100,3.45,62.5,3.12,48.1,0.000224595,-0.17875,47,2.06604,3.48345,2.37E-13,2.59349,267.512,-23.2594,-0.306,N,SAM 2021.12.02,11/16/2022
GCL System Integration Technology Co. Ltd. GCL-P6/60255,GCL System Integration Technology Co. Ltd.,Multi-c-Si,0,251.104,230.6,1.627,1.64,0.992,60,8.98,37.7,8.26,30.4,0.00413798,-0.119724,46.4,1.54287,9.00686,2.12E-10,0.329833,110.28,10.2784,-0.42929,N,SAM 2021.12.02,11/16/2022
GCL System Integration Technology Co. Ltd. GCL-P6/60260,GCL System Integration Technology Co. Ltd.,Multi-c-Si,0,256.428,235.3,1.627,1.64,0.992,60,9.09,37.9,8.38,30.6,0.00418867,-0.120359,46.4,1.55016,9.11484,2.12E-10,0.322268,117.932,10.1676,-0.42929,N,SAM 2021.12.02,11/16/2022
GermanSolar USA Inc. GS-400G1-72,GermanSolar USA Inc.,Mono-c-Si,0,400.876,373.1,1.97,,,72,10.29,49.9,9.73,41.2,0.0013377,-0.115768,46.2,1.73609,10.3001,3.34E-12,0.334106,341.911,7.2838,-0.33,N,SAM 2021.12.02,11/16/2022
Gintech Energy GTE 200M,Gintech Energy,Multi-c-Si,0,216.234,178.3,1.682,1.665,1.01,60,8.01,35.9,7.38,29.3,0.00338022,-0.132866,43.1,1.65666,8.02328,3.02E-09,0.246205,148.474,18.3575,-0.5417,N,SAM 2021.12.02,11/16/2022
Gintech Energy GTE 205M,Gintech Energy,Multi-c-Si,0,216.527,182.8,1.682,1.665,1.01,60,8.02,35.9,7.39,29.3,0.00338444,-0.132866,43.1,1.65654,8.03324,3.02E-09,0.245926,148.94,18.3436,-0.5417,N,SAM 2021.12.02,11/16/2022
Goldi Solar Private Limited GOLDI072F400PRC24,Goldi Solar Private Limited,Mono-c-Si,0,400.14,373.7,1.88,,,72,10.21,49.7,9.88,40.5,0.0027567,-0.117789,46.1,1.74171,10.4221,4.19E-12,0.384783,581.352,6.64562,-0.329,N,SAM 2021.12.02,11/16/2022
Goldi Solar Private Limited GOLDI072F400PRC24B,Goldi Solar Private Limited,Mono-c-Si,0,400.14,375.6,1.88,,,72,10.21,49.7,9.88,40.5,0.0028588,-0.118783,44.9,1.73572,10.4223,3.79E-12,0.386124,569.046,4.8857,-0.325,N,SAM 2021.12.02,11/16/2022
Grape Solar GS-P-160-EUG,Grape Solar,Multi-c-Si,0,160.071,143.4,1.313,1.324,0.992,48,7.6,28.6,6.87,23.3,0.003116,-0.086658,46.7,1.18823,7.63091,2.53E-10,0.253822,62.4134,18.9955,-0.435,N,SAM 2021.12.02,11/16/2022
Grape Solar GS-S-160-Fab8,Grape Solar,Mono-c-Si,0,159.728,143.3,1.277,1.58,0.808,72,4.85,43.84,4.53,35.26,0.002328,-0.131082,45.8,1.82427,4.85646,1.75E-10,0.713584,535.831,21.1461,-0.458,N,SAM 2021.12.02,11/16/2022
Guangdong Golden Glass Technologies GG275M2-36/1956x992,Guangdong Golden Glass Technologies,Multi-c-Si,0,275.12,247.3,1.94,1.956,0.992,72,8.2,44.3,7.6,36.2,0.003362,-0.134229,46.7,1.81632,8.21589,2.04E-10,0.351712,181.507,16.1425,-0.435,N,SAM 2021.12.02,11/16/2022
Guangdong Golden Glass Technologies GG280M2-36/1956x992,Guangdong Golden Glass Technologies,Multi-c-Si,0,280.28,252,1.94,1.956,0.992,72,8.28,44.5,7.7,36.4,0.0033948,-0.134835,46.7,1.82201,8.29364,2.00E-10,0.344831,209.306,15.8524,-0.435,N,SAM 2021.12.02,11/16/2022
HALEE Inc HST-61-E-FP,HALEE Inc,Mono-c-Si,0,61.56,52.2,0.41,,,14,8.6,9.5,8.1,7.6,0.002408,-0.024985,60.5,0.35595,8.60908,2.18E-11,0.102581,97.1137,11.5506,-0.387,Y,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-60HB340W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,340.275,318.5,1.82,,,60,10.99,39.6,10.47,32.5,0.0047257,-0.115236,43.1,1.46844,10.9905,2.13E-11,0.248688,5388.54,-1.61243,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-60HB345W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,345.384,323.3,1.82,,,60,11.05,39.8,10.53,32.8,0.0047515,-0.115818,43.1,1.47882,11.0506,2.26E-11,0.233721,4634.24,-1.18174,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-60HB350W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,350.13,328.1,1.82,,,60,11.11,40.1,10.61,33,0.0047773,-0.116691,43.1,1.49411,11.2288,2.45E-11,0.236799,344.125,-0.619256,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-60HB355W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,354.978,332.9,1.82,,,60,11.18,40.4,10.66,33.3,0.0048074,-0.117564,43.1,1.5008,11.1801,2.28E-11,0.233914,46926,-1.22325,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-72HB410W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,410.405,384.2,2.17,,,72,10.96,48,10.39,39.5,0.0047128,-0.13968,43.1,1.78691,10.9652,2.35E-11,0.290303,614.379,-0.797378,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-72HB415W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,415.262,389,2.17,,,72,11.03,48.2,10.46,39.7,0.0047429,-0.140262,43.1,1.79487,11.0349,2.38E-11,0.285775,644.2,-0.734522,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-72HB420W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,420.147,393.8,2.17,,,72,11.1,48.4,10.53,39.9,0.004773,-0.140844,43.1,1.80283,11.1046,2.42E-11,0.281308,676.699,-0.672146,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-72HB425W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,425.06,398.6,2.17,,,72,11.17,48.6,10.6,40.1,0.0048031,-0.141426,43.1,1.81078,11.1743,2.45E-11,0.276899,712.256,-0.610243,-0.353,N,SAM 2021.12.02,11/16/2022
Hanersun Technology Co. Ltd. CP17-72HB430W,Hanersun Technology Co. Ltd.,Mono-c-Si,0,430.001,403.4,2.17,,,72,11.24,48.8,10.67,40.3,0.0048332,-0.142008,43.1,1.81874,11.2441,2.49E-11,0.27255,751.322,-0.54881,-0.353,N,SAM 2021.12.02,11/16/2022
Hansol Technics Co. Ltd. HS240ME-V01,Hansol Technics Co. Ltd.,Multi-c-Si,0,240.279,214.4,1.601,1.63,0.982,60,8.31,37.7,7.93,30.3,0.004155,-0.12064,48.1,1.53869,8.39503,1.91E-10,0.36336,1581.56,8.99651,-0.44,N,SAM 2021.12.02,11/16/2022
Hansol Technics Co. Ltd. HS245ME-V01,Hansol Technics Co. Ltd.,Multi-c-Si,0,245.328,219,1.601,1.63,0.982,60,8.44,37.8,8.07,30.4,0.00422,-0.12096,48.1,1.54167,8.52466,1.91E-10,0.35589,11709.4,8.85452,-0.44,N,SAM 2021.12.02,11/16/2022
Hansol Technics Co. Ltd. HS250ME-V01,Hansol Technics Co. Ltd.,Multi-c-Si,0,250.1,223.6,1.601,1.63,0.982,60,8.57,37.9,8.2,30.5,0.004285,-0.12128,48.1,1.55354,8.75084,2.20E-10,0.345039,351.256,9.88331,-0.44,N,SAM 2021.12.02,11/16/2022
Hansol Technics Co. Ltd. HS430UE-JH2,Hansol Technics Co. Ltd.,Mono-c-Si,0,430.127,404.7,2.09,,,78,9.97,53.4,9.29,46.3,0.0042871,-0.148452,42.5,2.05487,9.97373,5.00E-11,0.0629571,168.441,11.3458,-0.352,N,SAM 2021.12.02,11/16/2022
Hansol Technics Co. Ltd. HS435UE-JH2,Hansol Technics Co. Ltd.,Mono-c-Si,0,435.24,409.5,2.09,,,78,10.04,53.6,9.36,46.5,0.0043172,-0.149008,42.5,2.06259,10.0435,5.04E-11,0.059715,170.908,11.3509,-0.352,N,SAM 2021.12.02,11/16/2022
Hanwha Q CELLS Q.PRO-G3 240,Hanwha Q CELLS,Multi-c-Si,0,242.474,217.8,1.653,1.663,0.994,60,8.76,37.35,8.2,29.57,0.003504,-0.11952,44.8,1.50579,8.77149,1.46E-10,0.412593,314.561,6.43177,-0.44,N,SAM 2021.12.02,11/16/2022
Hanwha Q CELLS Q.PRO BFR - G3 245,Hanwha Q CELLS,Multi-c-Si,0,247.354,222.5,1.653,1.663,0.994,60,8.85,37.56,8.32,29.73,0.00354,-0.120192,44.8,1.51055,8.8568,1.40E-10,0.411347,535.633,5.93856,-0.44,N,SAM 2021.12.02,11/16/2022
Heliene 144HC-520 M10 Bifacial,Heliene,Mono-c-Si,1,520.832,489.6,2.51,,,72,13.28,48.7,12.52,41.6,0.0058432,-0.123211,43.8,1.78742,13.2878,1.92E-11,0.114618,195.85,10.63,-0.327,N,SAM 2021.12.02,11/16/2022
Heliene 144HC-530 M10 Bifacial,Heliene,Mono-c-Si,1,529.616,499.2,2.51,,,72,13.37,49.7,12.64,41.9,0.0058828,-0.125741,43.8,1.80969,13.3787,1.56E-11,0.166804,257.626,8.71599,-0.327,N,SAM 2021.12.02,11/16/2022
Heliene 144HC-540 M10 Bifacial,Heliene,Mono-c-Si,1,540.171,508.9,2.51,,,72,13.5,50.2,12.77,42.3,0.00594,-0.127006,43.8,1.82693,13.5084,1.55E-11,0.168858,271.092,8.58995,-0.327,N,SAM 2021.12.02,11/16/2022
Helios USA 6TA,Helios USA,Mono-c-Si,0,255.008,229.6,1.663,1.68,0.99,60,8.86,37.5,8.32,30.65,0.0094802,-0.14025,46.1,1.66726,8.86413,1.50E-09,0.24106,517.717,8.93487,-0.451,N,SAM 2021.12.02,11/16/2022
Hengdian Group DMEGC Magnetics DM175-M125-72,Hengdian Group DMEGC Magnetics,Mono-c-Si,0,175.42,154.2,1.229,1.56,0.788,72,5.23,44.7,4.9,35.8,0.002615,-0.16539,46.9,1.97207,5.23342,7.43E-10,0.662139,1012.97,9.19939,-0.51,N,SAM 2021.12.02,11/16/2022
