Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Hengdian Group DMEGC Magnetics DM180-M125-72,Hengdian Group DMEGC Magnetics,Mono-c-Si,0,180,158.7,1.229,1.56,0.788,72,5.29,44.8,5,36,0.002645,-0.16576,46.9,1.98104,5.347,7.99E-10,0.621084,809.139,9.65754,-0.51,N,SAM 2021.12.02,11/16/2022
Hengdian Group DMEGC Magnetics DM185-M125-72,Hengdian Group DMEGC Magnetics,Mono-c-Si,0,185.276,163.3,1.229,1.56,0.788,72,5.43,45,5.09,36.4,0.002715,-0.1665,46.9,1.99674,5.43329,8.78E-10,0.557732,920.542,10.3539,-0.51,N,SAM 2021.12.02,11/16/2022
Hengdian Group DMEGC Magnetics DM190-M125-72,Hengdian Group DMEGC Magnetics,Mono-c-Si,0,189.954,167.9,1.229,1.56,0.788,72,5.56,45.2,5.19,36.6,0.00278,-0.16724,46.9,2.01207,5.56531,9.62E-10,0.537182,562.324,10.9736,-0.51,N,SAM 2021.12.02,11/16/2022
Hyperion Solar HY-WH144P8-550,Hyperion Solar,Mono-c-Si,0,550.62,510.7,2.58,,,72,14,49.9,13.11,42,0.00994,-0.148702,44,2.04593,14.0101,3.51E-10,0.12742,177.128,17.8052,-0.399,N,SAM 2021.12.02,11/16/2022
Hyperion Solar HY-WH144P8-550-B [Blk],Hyperion Solar,Mono-c-Si,0,550.62,510.7,2.58,,,72,14,49.9,13.11,42,0.00994,-0.148702,44,2.04593,14.0101,3.51E-10,0.12742,177.128,17.8052,-0.399,N,SAM 2021.12.02,11/16/2022
Hyperion Solar HY-WH144P8-550-b [Wht],Hyperion Solar,Mono-c-Si,0,550.62,510.7,2.58,,,72,14,49.9,13.11,42,0.00994,-0.148702,44,2.04593,14.0101,3.51E-10,0.12742,177.128,17.8052,-0.399,N,SAM 2021.12.02,11/16/2022
HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-M191SF,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Multi-c-Si,0,191.99,172.6,1.451,1.476,0.983,54,8,33,7.3,26.3,0.00312,-0.10956,43.6,1.40781,8.03085,5.07E-10,0.356818,92.5417,14.299,-0.477,N,SAM 2021.12.02,11/16/2022
HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-M194SF,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Multi-c-Si,0,192.72,175.4,1.451,1.476,0.983,54,8,33.1,7.3,26.4,0.00312,-0.109892,43.6,1.41273,8.0306,5.12E-10,0.354579,92.6928,14.3998,-0.477,N,SAM 2021.12.02,11/16/2022
HYUNDAI ENERGY SOLUTIONS CO. LTD. HiS-M197SF,HYUNDAI ENERGY SOLUTIONS CO. LTD.,Multi-c-Si,0,196.84,178.2,1.451,1.476,0.983,54,8.1,33.3,7.4,26.6,0.003159,-0.110556,43.6,1.42156,8.12948,5.22E-10,0.345863,95.0219,14.4512,-0.477,N,SAM 2021.12.02,11/16/2022
JA Solar JAM72D30-540/MB,JA Solar,Mono-c-Si,1,539.552,506.8,2.52,,,72,13.86,49.6,12.97,41.6,0.0054054,-0.129456,44.8,1.81001,13.8783,1.70E-11,0.178458,135.525,5.89125,-0.33,N,SAM 2021.12.02,11/16/2022
JA Solar JAM72D30-545/MB,JA Solar,Mono-c-Si,1,545.072,511.6,2.52,,,72,13.93,49.8,13.04,41.8,0.0054327,-0.129978,44.8,1.81769,13.9478,1.72E-11,0.17548,137.28,5.94256,-0.33,N,SAM 2021.12.02,11/16/2022
Japan Solar (Infini Co. Ltd.) JS-250U-PI60,Japan Solar (Infini Co. Ltd.),Multi-c-Si,0,250.66,223.7,1.63,,,60,8.7,37.8,8.3,30.2,0.005916,-0.135324,48.1,1.56647,8.78793,2.91E-10,0.366517,3446.6,0.108533,-0.435,N,SAM 2021.12.02,11/16/2022
Japan Solar (Infini Co. Ltd.) JS-255U-PI60,Japan Solar (Infini Co. Ltd.),Multi-c-Si,0,255.968,228.4,1.63,,,60,8.8,37.9,8.42,30.4,0.005984,-0.135682,48.1,1.57961,8.98478,3.38E-10,0.342955,389.78,1.1861,-0.435,N,SAM 2021.12.02,11/16/2022
Jetion Solar (China) Co.Ltd. JT375SAh(1500),Jetion Solar (China) Co.Ltd.,Mono-c-Si,0,375.066,346.9,1.94,,,72,9.93,48.1,9.33,40.2,0.0047664,-0.131313,46.4,1.82728,9.93943,3.61E-11,0.24083,253.504,10.3654,-0.358,N,SAM 2021.12.02,11/16/2022
Jetion Solar (China) Co.Ltd. JT380SAh(1500),Jetion Solar (China) Co.Ltd.,Mono-c-Si,0,380.295,351.7,1.94,,,72,9.99,48.4,9.39,40.5,0.0047952,-0.132132,46.4,1.83946,9.99907,3.67E-11,0.23489,258.603,10.4677,-0.358,N,SAM 2021.12.02,11/16/2022
Jiangsu Runergy New Energy Technology Co. Ltd HY-DH108P8-390,Jiangsu Runergy New Energy Technology Co. Ltd,Mono-c-Si,0,389.538,363.7,1.69,,,54,13.61,36.9,12.73,30.6,0.0076216,-0.113283,43.7,1.47984,13.6251,1.98E-10,0.142381,128.52,9.5661,-0.396,N,SAM 2021.12.02,11/16/2022
Jiangsu Runergy New Energy Technology Co. Ltd HY-WH108P8-390,Jiangsu Runergy New Energy Technology Co. Ltd,Mono-c-Si,0,389.538,363,1.69,,,54,13.61,36.9,12.73,30.6,0.0096631,-0.109962,44,1.50163,13.6241,2.84E-10,0.138712,133.504,16.0701,-0.399,N,SAM 2021.12.02,11/16/2022
Jiangsu Runergy New Energy Technology Co. Ltd HY-DH108P8-395,Jiangsu Runergy New Energy Technology Co. Ltd,Mono-c-Si,0,394.548,368.5,1.69,,,54,13.7,37,12.81,30.8,0.007672,-0.11359,43.7,1.48727,13.7145,2.11E-10,0.131137,123.844,10.0692,-0.396,N,SAM 2021.12.02,11/16/2022
Jinko Solar Co. Ltd JKM400M-72L-V,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.6,1.92,,,72,10.36,49.8,9.6,41.7,0.00518,-0.1494,45.5,2.01651,10.3745,1.89E-10,0.202172,144.742,14.3289,-0.402,N,SAM 2021.12.02,11/16/2022
Jinko Solar Co. Ltd JKMS400M-72L-TI,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.2,1.92,,,72,10.36,49.8,9.6,41.7,0.0069412,-0.154878,45.6,2.06279,10.3732,3.29E-10,0.191759,150.054,15.0952,-0.406,N,SAM 2021.12.02,11/16/2022
Jinko Solar Co. Ltd JKMS400M-72L-V-TI,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.6,1.92,,,72,10.36,49.8,9.6,41.7,0.00518,-0.1494,45.5,2.01651,10.3745,1.89E-10,0.202172,144.742,14.3289,-0.402,N,SAM 2021.12.02,11/16/2022
Jinzhou Jinmao Photovoltaic Technology JMPV-5M/36-85,Jinzhou Jinmao Photovoltaic Technology,Mono-c-Si,0,84.9446,74.1,0.664,1.199,0.554,36,5.08,22,4.81,17.66,0.0018796,-0.091608,46.1,1.01029,5.13275,1.78E-09,0.306244,803.88,4.42431,-0.5597,N,SAM 2021.12.02,11/16/2022
Jinzhou Jinmao Photovoltaic Technology JMPV-5M/36-90,Jinzhou Jinmao Photovoltaic Technology,Mono-c-Si,0,89.9697,78.6,0.664,1.199,0.554,36,5.29,22.2,4.99,18.03,0.0019573,-0.0924408,46.1,1.02953,5.34656,2.28E-09,0.245741,358.556,6.22247,-0.5597,N,SAM 2021.12.02,11/16/2022
Juli New Energy JLS72M315WH(156),Juli New Energy,Mono-c-Si,0,315.464,279.8,1.94,1.956,0.992,72,8.95,46,8.39,37.6,0.0047435,-0.1679,47,2.02556,8.9557,1.22E-09,0.297263,466.454,10.2688,-0.493,N,SAM 2021.12.02,11/16/2022
Juli New Energy JLS72M320WH(156),Juli New Energy,Mono-c-Si,0,319.497,284.4,1.94,1.956,0.992,72,8.97,46.1,8.43,37.9,0.0047541,-0.168265,47,2.0339,8.97396,1.28E-09,0.267058,605.099,10.677,-0.493,N,SAM 2021.12.02,11/16/2022
KOSOL ENERGIE PVT. LTD. KE200,KOSOL ENERGIE PVT. LTD.,Multi-c-Si,0,201.799,181.5,1.31,,,48,8.64,29.6,8.17,24.7,0.0019872,-0.091464,45.9,1.1782,8.64346,1.05E-10,0.160915,401.632,7.68406,-0.423,N,SAM 2021.12.02,11/16/2022
KOSOL ENERGIE PVT. LTD. KE200P,KOSOL ENERGIE PVT. LTD.,Multi-c-Si,0,201.799,183.8,1.31,,,48,8.64,29.6,8.17,24.7,0.0028512,-0.080808,46.4,1.10816,8.6453,2.14E-11,0.179633,292.74,7.19176,-0.363,N,SAM 2021.12.02,11/16/2022
KOSOL ENERGIE PVT. LTD. KE205,KOSOL ENERGIE PVT. LTD.,Multi-c-Si,0,207,186.2,1.31,,,48,8.73,29.8,8.28,25,0.0020079,-0.092082,45.9,1.18763,8.73194,1.10E-10,0.142093,637.848,7.96642,-0.423,N,SAM 2021.12.02,11/16/2022
KOSOL ENERGIE PVT. LTD. KE205P,KOSOL ENERGIE PVT. LTD.,Multi-c-Si,0,206.67,188.5,1.31,,,48,8.77,29.9,8.3,24.9,0.0028941,-0.081627,46.4,1.11773,8.77501,2.09E-11,0.185828,325.387,6.85546,-0.363,N,SAM 2021.12.02,11/16/2022
La Solar LLC LS450BL,La Solar LLC,Mono-c-Si,0,450.18,421.1,2.19,,,72,11.53,49.6,10.98,41,0.0058803,-0.144832,44.1,1.8615,11.5311,3.09E-11,0.263144,2848.83,0.528929,-0.352,N,SAM 2021.12.02,11/16/2022
La Solar LLC LS450HC,La Solar LLC,Mono-c-Si,0,450.18,420.5,2.21,,,72,11.53,49.6,10.98,41,0.0056497,-0.185504,44.1,1.8929,11.5304,4.80E-11,0.256925,6939.03,-18.7493,-0.358,N,SAM 2021.12.02,11/16/2022
LDK Solar LDK-170D-24,LDK Solar,Mono-c-Si,0,168.504,152.7,1.281,1.586,0.808,72,5.42,44.5,4.76,35.4,0.00277873,-0.149787,46.2,1.90512,5.46539,3.56E-10,0.735768,87.8595,13.0355,-0.445,N,SAM 2021.12.02,11/16/2022
LDK Solar LDK-175D-24,LDK Solar,Mono-c-Si,0,174.833,157.3,1.281,1.586,0.808,72,5.43,44.7,4.87,35.9,0.00278385,-0.15046,46.2,1.89884,5.45944,3.04E-10,0.657798,121.341,11.5402,-0.445,N,SAM 2021.12.02,11/16/2022
LDK Solar LDK-180D-24,LDK Solar,Mono-c-Si,0,180.276,161.9,1.281,1.586,0.808,72,5.46,44.9,4.98,36.2,0.00279923,-0.151133,46.2,1.89173,5.47966,2.57E-10,0.627284,174.238,9.92678,-0.445,N,SAM 2021.12.02,11/16/2022
LG Electronics Inc. LG475N2W-E6,LG Electronics Inc.,Mono-c-Si,0,475.001,441.3,2.14,,,72,11.62,51,10.97,43.3,0.0031374,-0.13005,48.1,1.83783,11.6278,1.01E-11,0.170643,253.145,5.5897,-0.331,N,SAM 2021.12.02,11/16/2022
LG Electronics Inc. LG480N2W-E6,LG Electronics Inc.,Mono-c-Si,0,480.036,446.1,2.14,,,72,11.68,51.3,11.01,43.6,0.0031536,-0.130815,48.1,1.85102,11.6885,1.05E-11,0.165796,228.591,5.88811,-0.331,N,SAM 2021.12.02,11/16/2022
LIGHT&HOPE ENERGY CO.LTD. LHM72H-158M-395W,LIGHT&HOPE ENERGY CO.LTD.,Mono-c-Si,0,395.386,370.3,2.02,,,48,10.37,48.7,9.86,40.1,0.0050813,-0.133925,43.2,1.83635,10.5977,3.13E-11,0.299694,164.723,7.78565,-0.354,N,SAM 2021.12.02,11/16/2022
LONGi Green Energy Technology Co. Ltd. LR5-72HPH-555M,LONGi Green Energy Technology Co. Ltd.,Mono-c-Si,0,555.299,513.3,2.49,,,72,14.04,50,13.19,42.1,0.0053352,-0.141,46.6,1.92641,14.0512,7.36E-11,0.1465,184.204,10.1686,-0.375,N,SAM 2021.12.02,11/16/2022
LUMA Resources LRSS,LUMA Resources,Mono-c-Si,0,79.9504,72,0.5,1.321,0.339,16,9.89,10.43,9.34,8.56,0.0040549,-0.0279524,50.6,0.396882,9.89695,3.78E-11,0.0707513,100.638,12.9672,-0.378,Y,SAM 2021.12.02,11/16/2022
Luxor Solar LX-335M/156-72+,Luxor Solar,Mono-c-Si,0,335.104,300.6,1.94,1.96,0.99,72,9.23,46.15,8.96,37.4,0.00501189,-0.168447,46.2,1.98691,9.5126,7.74E-10,0.330952,1078.12,5.77751,-0.4781,N,SAM 2021.12.02,11/16/2022
Mage Solar POWERTEC Plus 240 / 6 PL US AC,Mage Solar,Multi-c-Si,0,240.35,216.8,1.637,1.655,0.989,60,8.48,37.26,7.87,30.54,0.0070384,-0.131528,45.3,1.62902,8.49173,9.65E-10,0.24588,177.744,12.125,-0.451,N,SAM 2021.12.02,11/16/2022
Mage Solar POWERTEC Plus 245 / 6 PL US AC,Mage Solar,Multi-c-Si,0,249.654,221.4,1.637,1.655,0.989,60,8.69,37.8,8.14,30.67,0.0072127,-0.133434,45.3,1.63347,8.69702,7.66E-10,0.290758,359.993,9.77573,-0.451,N,SAM 2021.12.02,11/16/2022
Mage Solar USA Powertec Plus 250/6 PL US AC,Mage Solar USA,Multi-c-Si,0,250.553,226,1.637,1.655,0.989,72,8.66,37.66,8.01,31.28,0.0071878,-0.13294,45.3,1.66314,8.67084,1.23E-09,0.181591,145.07,14.2039,-0.451,N,SAM 2021.12.02,11/16/2022
MAR SOLAR PANEL IMALATI VE ELEKTRIK URT. DAG. PRJ. HZ. SAN. VE TC. A.S. MS605PUL-260,MAR SOLAR PANEL IMALATI VE ELEKTRIK URT. DAG. PRJ. HZ. SAN. VE TC. A.S.,Multi-c-Si,0,260.51,235.5,1.63,,,60,8.72,38.53,8.39,31.05,0.00838864,-0.159399,45.8,1.66958,8.89643,8.43E-10,0.316043,2432.77,-6.06806,-0.4369,N,SAM 2021.12.02,11/16/2022
MAR SOLAR PANEL IMALATI VE ELEKTRIK URT. DAG. PRJ. HZ. SAN. VE TC. A.S. MS605PUL-265,MAR SOLAR PANEL IMALATI VE ELEKTRIK URT. DAG. PRJ. HZ. SAN. VE TC. A.S.,Multi-c-Si,0,265.898,240.2,1.63,,,60,8.75,38.72,8.46,31.43,0.0084175,-0.160185,45.8,1.68921,9.02055,9.92E-10,0.281244,468.029,-4.8967,-0.4369,N,SAM 2021.12.02,11/16/2022
Maxeon Solar Technologies Ltd. SPR-P5-545-UPP,Maxeon Solar Technologies Ltd.,Mono-c-Si,0,545.495,490.5,2.6,,,115,14.83,47.8,13.81,39.5,0.0068218,-0.142922,46.4,2.1144,15.1604,2.20E-09,0.14764,69.0497,35.7739,-0.493,N,SAM 2021.12.02,11/16/2022
Maxeon Solar Technologies Ltd. SPR-P5-550-UPP,Maxeon Solar Technologies Ltd.,Mono-c-Si,0,550.832,495.2,2.6,,,115,14.86,48,13.84,39.8,0.0068356,-0.14352,46.4,2.11474,15.0307,2.02E-09,0.139794,94.8365,34.8554,-0.493,N,SAM 2021.12.02,11/16/2022
Merlin Solar Technologies Inc. FXS 95-B,Merlin Solar Technologies Inc.,Mono-c-Si,0,95.58,83.8,0.75,,,24,8.46,15.1,8.1,11.8,0.0043146,-0.04681,51.3,0.591879,8.63929,7.12E-11,0.194708,181.822,3.69852,-0.413,N,SAM 2021.12.02,11/16/2022
Meyer Burger (Industries) GmbH Meyer Burger White 400W,Meyer Burger (Industries) GmbH,Mono-c-Si,0,401.1,380.7,1.77,,,60,11.1,44.7,10.5,38.2,0.003996,-0.104151,46.2,1.46232,11.1089,5.78E-13,0.163579,204.541,-8.55327,-0.247,N,SAM 2021.12.02,11/16/2022
Miasole FLEX-02 70N,Miasole,Thin Film,0,73.515,60.9,1.61,1.626,0.99,60,4.33,24.5,3.77,19.5,0.00020351,-0.084917,45.8,1.07665,4.36864,5.14E-10,0.490739,54.9907,15.7249,-0.5065,Y,SAM 2021.12.02,11/16/2022
Miasole MR-107,Miasole,Thin Film,0,110.386,97.1,1.079,1.61,0.67,44,6.79,24.9,5.69,19.4,-0.0002037,-0.089142,49.9,1.02448,6.91384,1.63E-10,0.431887,23.6798,-1.18959,-0.446,N,SAM 2021.12.02,11/16/2022
Mission Solar Energy LLC TXI10-455120BB,Mission Solar Energy LLC,Mono-c-Si,0,455.576,426.8,2.16,,,60,13.93,41.3,13.36,34.1,0.0075222,-0.112336,43.6,1.55045,14.0737,3.78E-11,0.182939,589.959,7.99309,-0.353,N,SAM 2021.12.02,11/16/2022
Mitrex M440-H1H,Mitrex,Mono-c-Si,1,440.544,409.8,2.15,,,72,11.15,49.5,10.59,41.6,0.0054635,-0.14751,44.1,1.92405,11.1524,7.45E-11,0.187162,865.948,6.0819,-0.376,N,SAM 2021.12.02,11/16/2022
Mitsubishi Electric PV-EE120MF5F,Mitsubishi Electric,Multi-c-Si,0,120.228,108.7,1.008,1.495,0.674,36,7.75,21.6,6.99,17.2,0.00495225,-0.0745416,43,0.947483,7.78819,9.22E-10,0.237256,48.1407,15.4346,-0.4741,N,SAM 2021.12.02,11/16/2022
Mitsubishi Electric PV-EE125MF5F,Mitsubishi Electric,Multi-c-Si,0,125.079,112.4,1.008,1.495,0.674,36,7.9,21.8,7.23,17.3,0.0033733,-0.0792866,43,0.963018,7.92616,1.12E-09,0.240691,72.6917,11.2809,-0.5098,N,SAM 2021.12.02,11/16/2022
Mitsubishi Electric PV-EE130MF5F,Mitsubishi Electric,Multi-c-Si,0,129.978,117,1.008,1.495,0.674,36,8.05,21.9,7.47,17.4,0.00343735,-0.0796503,43,0.959925,8.0641,9.76E-10,0.234494,133.9,9.7944,-0.5098,N,SAM 2021.12.02,11/16/2022
MSquare Energy Pty Ltd MSE-540W-M72H-M10,MSquare Energy Pty Ltd,Mono-c-Si,0,540.089,506.1,2.56,,,72,13.85,49.4,13.27,40.7,0.0076175,-0.151164,43.7,1.87281,13.9933,4.87E-11,0.224488,648.124,-2.06259,-0.355,N,SAM 2021.12.02,11/16/2022
MSquare Energy Pty Ltd MSE-545W-M72H-M10,MSquare Energy Pty Ltd,Mono-c-Si,0,545.088,510.9,2.56,,,72,13.94,49.5,13.36,40.8,0.007667,-0.15147,43.7,1.87675,14.084,4.92E-11,0.221983,683.861,-2.0443,-0.355,N,SAM 2021.12.02,11/16/2022
Mundra Solar PV Ltd. ASB-7-370,Mundra Solar PV Ltd.,Mono-c-Si,1,370.524,339.3,2.01,,,72,9.73,48.8,9.24,40.1,0.0060326,-0.137128,47.4,1.88575,9.7317,5.60E-11,0.322971,1852.68,11.0291,-0.373,N,SAM 2021.12.02,11/16/2022
Mundra Solar PV Ltd. ASB-7-375,Mundra Solar PV Ltd.,Mono-c-Si,1,376.932,346,2.01,,,72,9.76,48.8,9.33,40.4,0.0060512,-0.137128,47.4,1.89538,9.8619,6.44E-11,0.281483,645.202,12.197,-0.373,N,SAM 2021.12.02,11/16/2022
Mundra Solar PV Ltd. ASB-7-380,Mundra Solar PV Ltd.,Mono-c-Si,1,380.78,348.7,2.01,,,72,10.06,48.2,9.64,39.5,0.0062372,-0.135442,47.4,1.85975,10.1631,5.62E-11,0.318512,1316.18,10.6812,-0.373,N,SAM 2021.12.02,11/16/2022
Mundra Solar PV Ltd. ASB-7-385,Mundra Solar PV Ltd.,Mono-c-Si,1,386.678,353.5,2.01,,,72,10.11,48.9,9.74,39.7,0.0062682,-0.137409,47.4,1.88087,10.3198,5.24E-11,0.362845,564.172,9.94001,-0.373,N,SAM 2021.12.02,11/16/2022
New East Solar Energy (Cambodia) Co.Ltd. NESE295-60MV,New East Solar Energy (Cambodia) Co.Ltd.,Mono-c-Si,0,295.868,271.1,1.67,,,60,9.66,40.1,9.16,32.3,0.0049266,-0.111879,46.9,1.50989,9.66267,2.82E-11,0.355468,1286.05,5.98199,-0.368,N,SAM 2021.12.02,11/16/2022
New East Solar Energy (Cambodia) Co.Ltd. NESE300-60MV,New East Solar Energy (Cambodia) Co.Ltd.,Mono-c-Si,0,300.024,275.8,1.67,,,60,9.75,40.2,9.26,32.4,0.0049725,-0.112158,46.9,1.51293,9.75105,2.81E-11,0.350564,3248.83,5.88158,-0.368,N,SAM 2021.12.02,11/16/2022
Next Energy Alliance LLC NEA375M-72,Next Energy Alliance LLC,Mono-c-Si,0,374.768,344.9,1.94,,,72,10.12,48.5,9.44,39.7,0.006578,-0.16199,44.9,1.99611,10.1337,2.78E-10,0.301522,222.282,5.84736,-0.413,N,SAM 2021.12.02,11/16/2022
Next Energy Alliance LLC NEA380M-72,Next Energy Alliance LLC,Mono-c-Si,0,380.8,349.6,1.94,,,72,10.22,48.7,9.52,40,0.006643,-0.162658,44.9,2.00994,10.2343,3.00E-10,0.282759,201.969,6.41715,-0.413,N,SAM 2021.12.02,11/16/2022
Next Energy Alliance LLC NEA385M-72,Next Energy Alliance LLC,Mono-c-Si,0,385.518,354.4,1.94,,,72,10.31,48.9,9.59,40.2,0.0067015,-0.163326,44.9,2.02096,10.3253,3.12E-10,0.276811,186.359,6.69178,-0.413,N,SAM 2021.12.02,11/16/2022
ONYX SOLAR ENERGY S.L. ONYX G/G M06666,ONYX SOLAR ENERGY S.L.,Mono-c-Si,0,293.65,256.6,1.99,,,66,8.93,42,8.39,35,0.001786,-0.1386,49.3,1.74358,8.93563,3.04E-10,0.209059,331.479,9.53733,-0.46,Y,SAM 2021.12.02,11/16/2022
Orb Energy Private Limited Orb295M60-15,Orb Energy Private Limited,Mono-c-Si,0,294.705,272.8,1.58,,,60,9.56,41,8.85,33.3,0.0053536,-0.11316,45.9,1.57011,9.58541,4.22E-11,0.331611,124.785,10.8452,-0.364,N,SAM 2021.12.02,11/16/2022
Panasonic Corporation of North America EVPV400H,Panasonic Corporation of North America,Mono-c-Si,0,400.371,381.9,1.79,,,66,10.25,48.8,9.51,42.1,0.0037925,-0.111752,44,1.64079,10.2625,1.19E-12,0.13773,112.9,-0.372544,-0.257,N,SAM 2021.12.02,11/16/2022
Panasonic Corporation of North America EVPV410H,Panasonic Corporation of North America,Mono-c-Si,0,410.347,391.7,1.79,,,66,10.35,49,9.61,42.7,0.0038295,-0.11221,44,1.6546,10.3579,1.37E-12,0.0869782,113.778,0.692952,-0.257,N,SAM 2021.12.02,11/16/2022
PEIMAR SG160M,PEIMAR,Mono-c-Si,0,159.996,141.5,1.277,1.58,0.808,72,5.12,42.42,4.57,35.01,0.0027648,-0.155681,46.9,1.92657,5.13666,1.31E-09,0.374615,115.122,15.6145,-0.484,N,SAM 2021.12.02,11/16/2022
PEIMAR SG165M,PEIMAR,Mono-c-Si,0,164.964,146,1.277,1.58,0.808,72,5.22,42.5,4.66,35.4,0.0028188,-0.155975,46.9,1.94145,5.23315,1.51E-09,0.284836,113.08,16.8245,-0.484,N,SAM 2021.12.02,11/16/2022
